szName	szDesc
#########buff
###95
佳·玉露团	体质提高42点
佳·汉宫棋	根骨提高31点
佳·凤凰胎	力道提高31点
佳·长生粥	元气提高31点
佳·小天酥	身法提高31点
佳·西江料	气血上限提高417点
佳·红罗丁	内力上限提高417点
佳·曼陀样夹饼	外功攻击提高62点
佳·八方寒食饼	内功攻击提高75点
佳·同心生结铺	疗伤成效提高65点
佳·过门香	气血恢复速度提高55点
佳·金铃炙	内力恢复速度提高55点
佳·火焰盏口堆	拆招值提高518点
佳·通花软牛肠	内功会心效果等级提高83点
佳·清凉月霍碎	外功会心效果等级提高83点
佳·天花毕罗	仇恨百分比提高14%
佳·护命丹	体质提高62点
佳·点骨丹	力道提高46点
佳·养神丹	元气提高46点
佳·补心丹	根骨提高46点
佳·玄元丹	气血上限提高625点
佳·枕中丹	内力上限提高625点
佳·青霜丹	外功攻击提高94点
佳·紫雪丹	内功攻击提高112点
佳·清灵丹	疗伤成效提高98点
佳·震灵丹	拆招值提高776点
佳·妙香丹	内功会心效果等级提高125点
佳·玉枢丹	外功会心效果等级提高125点
佳·灵寿丹	仇恨百分比提高22
佳·通周丹	外功破防提高125点
佳·黄精丹	内功破防提高125点
佳·轻身丹	身法提高46点
佳·单笼金乳酥	外功破防提高83点
佳·御黄王母饭	内功破防提高83点
###90
尚·上品活血丹	每秒气血恢复提升33点
尚·上品疏络丹	每秒内力恢复提升35点
#佳·八珍强体汤	体质提高22点
#佳·白芷增骨汤	根骨提高17点
#佳·安荣力劲汤	力道提高17点
#佳·逍遥固元汤	元气提高17点
#佳·君子知身汤	身法提高17点
#佳·黑山剁	气血上限提高225点
#佳·红山剁	内力上限提高225点
#佳·麻香软骨脆	外功攻击提高34点
#佳·走油蹄髈	内功伤害提高40点
#佳·葱爆肉丁	疗伤成效提高35点
#佳·薄荷蒸排骨	每秒气血回复提高30点
#佳·锅包肉	每秒内力回复提高30点
#佳·甜菜蜜肉	拆招值提高279点
#佳·芋丝蒸肉糕	外功破防值提高45点
#佳·虎皮凤爪	内功破防值提高45点
#佳·合饼卷菜	内功会心效果等级提高45点
#佳·佛手排骨	外功会心效果等级提高45点
#佳·肉骨茶	招式附加威胁值提高8%
#尚·百花香囊	体质提高32点
#尚·栀仁香囊	根骨提高23点
#尚·柏桂香囊	力道提高23点
#尚·紫荷香囊	元气提高23点
#尚·桂枝香囊	身法提高23点
#尚·上品长生丹	气血上限提升316点
#尚·上品凝神丹	内力上限提升350点
#尚·上品亢龙丹	外功基础攻击提高49点
#尚·上品展凤丹	内功伤害提高57点
#尚·上品静心丸	治疗效果提高42点
#尚·上品定志丹	拆招值提升392点
#尚·上品破秽丹	招式附加威胁值提高12%
#尚·上品玉露丹	内功会心效果等级提高63点	
#尚·上品万花丹	外功会心效果提高63点
###80
上品逍遥散	跑步速度提高70%
#中品破秽丹	招式附加威胁值提高6%
#上品玉露散	内功会心等级提高28点
#中品万花丹	外功会心等级提高28点
#壮骨香囊	内功会心效果等级提高41点
#润肺香囊	外功会心效果等级提高41点
#健体香囊	外功破防值提高41点
#提神香囊	内功破防值提高41点
#######other
###95
烧尾宴	使用：提高当前功体最受益的属性，持续60分钟。体质57点，其余属性是39点。
佳·玉蟾丹	使用：瞬间回复生命5500点
佳·玉华丹	使用：瞬间回复内力9000点
###90
佳·回元餐	使用：回复精力30点
佳·转神餐	使用：回复体力32点
#尚·上品止血丹	使用：回复气血3000点。
#尚·上品活络丹	使用：回复内力3000点。	
萤石	使用：将其转换为五行石。此物已年久失效。
灵韵珠·天人合一	使用：将其转换为五行石。此物已年久失效。
绿萤珠	装备回炼必备材料，可于装备洗炼师、杂货商或五行石商人处购得。
碧玺碎片	使用：收集25个碧玺碎片可以合成碧玺。注意：碧玺是拾取绑定材料。
#天工·索野	此物已年久失效，可卖给商人换取金钱。
#芙蓉出水宴	使用：提高当前功体最受益的属性，持续60分钟。体质37点，其余属性是28点。
#碧闺药花	将整理好的药草放入碧器中收藏，能让药效翻倍。	
#碧床落花绒	通过碧玉车床加工的布料，看着十分高贵
#碧台细钢锭	用碧台来熔铸的钢锭，这种钢锭颜色泛青。
#碧笼盈蒸肉	将碧玉作为笼屉辅料，把上成的肉放在其中蒸熟后做成肉酱
###80
飞鱼丸	使用：游泳速度提高50。药如其名，一试便知。
#天工匣·癸寅	使用：在秘境中组装起来，帮助修理装备。省时省力又省心！
#五行石·金（八级）<Text>text=\"使用：可转换为新版五行石 此物已年久过期，可使用后转换为新版道具。
#悬壶济世	使用：建立一个临时营地，持续15分钟，60尺范围内的队友重伤后，可回到此处疗伤。只有加入了帮会的侠士，才可在组队时于秘境中使用。
五彩球·赤	使用：抛给其他玩家，可以增加其攻击能力。
五彩球·蓝	使用：抛给其他玩家，可以增加其生存能力。
####enchant--80
#鬼虎绣	上装	御劲9
#鬼虎染	腰带	化劲9
#朱雀磨石	武器	治疗成效14
#云锡甲片	头部	外功命中16
#云英甲片	头部	内功命中16
鬼虎甲片（头部）	帽子御劲等级提高9
鬼虎甲片（鞋子）	鞋子化劲等级提高9
鬼虎绣（护手）	护腕化劲等级提高9
鬼虎染（下装）	下装御劲等级提高9
朱雀甲片（头部）	帽子治疗成效提高14
朱雀甲片（鞋子）	鞋子治疗成效提高14
朱雀绣（上装）	上衣治疗成效14
朱雀染（腰带）	腰带治疗成效14
燧棱磨石	武器招式产生威胁提高3%
鬼虎磨石	武器御劲等级提高9
龙血磨石	武器
流纹绣（上装）	上衣内破16
角砾绣（上装）	上衣外破16
流纹染（腰带）	腰带内功会心等级16
角砾染（腰带）	腰带外功会心等级16
云锡染（下装）	下装外命14
云锡染（腰带）	腰带外命18
云锡绣（上装）	上衣外命16	
云锡绣（护手）	护腕外命18
云英染（下装）	下装内命14
云英染（腰带）	腰带内命18
云英绣（上装）	上衣内命16	
云英绣（护手）	护腕内命18
